#module	rmiName	direction	class	method	handlerAddr	handlerOldName	renamed
CryGame.dll	RMI:CMonster:SvRequestGrabOnLadder	C2S	CMonster	SvRequestGrabOnLadder	10d97480	RMI_CMonster_SvRequestGrabOnLadder	no
CryGame.dll	RMI:CMonster:SvRequestLeaveLadder	C2S	CMonster	SvRequestLeaveLadder	10d975a0	RMI_CMonster_SvRequestLeaveLadder	no
CryGame.dll	RMI:CMonster:ClGrabOnLadder	S2C	CMonster	ClGrabOnLadder	10d976c0	RMI_CMonster_ClGrabOnLadder	no
CryGame.dll	RMI:CMonster:ClLeaveLadder	S2C	CMonster	ClLeaveLadder	10d977e0	RMI_CMonster_ClLeaveLadder	no
CryGame.dll	RMI:CMonster:ClAnimGraphTransition	S2C	CMonster	ClAnimGraphTransition	10d97310	RMI_CMonster_ClAnimGraphTransition	no
CryGame.dll	RMI:CMonster:ClAnimGraphInput	S2C	CMonster	ClAnimGraphInput	10d973d0	RMI_CMonster_ClAnimGraphInput	no
CryGame.dll	RMI:CMonster:SvRequestUnfreeze	C2S	CMonster	SvRequestUnfreeze	10d97900	RMI_CMonster_SvRequestUnfreeze	no
CryGame.dll	RMI:CMonster:SvRequestHitAssistance	C2S	CMonster	SvRequestHitAssistance	10d979b0	RMI_CMonster_SvRequestHitAssistance	no
CryGame.dll	RMI:CMonster:ClEMP	S2C	CMonster	ClEMP	10d97a60	RMI_CMonster_ClEMP	no
CryGame.dll	RMI:CMonster:ClJump	S2C	CMonster	ClJump	10d97b10	RMI_CMonster_ClJump	no
CryGame.dll	RMI:CMonster:SvRequestJump	C2S	CMonster	SvRequestJump	10d97bc0	RMI_CMonster_SvRequestJump	no
CryGame.dll	RMI:CMonster:SvRequestParachute	C2S	CMonster	SvRequestParachute	10d97c70	RMI_CMonster_SvRequestParachute	no
CryGame.dll	RMI:CNPC:SvRequestGrabOnLadder	C2S	CNPC	SvRequestGrabOnLadder	10ec0020	RMI_CNPC_SvRequestGrabOnLadder	no
CryGame.dll	RMI:CNPC:SvRequestLeaveLadder	C2S	CNPC	SvRequestLeaveLadder	10ec0140	RMI_CNPC_SvRequestLeaveLadder	no
CryGame.dll	RMI:CNPC:ClGrabOnLadder	S2C	CNPC	ClGrabOnLadder	10ec0260	RMI_CNPC_ClGrabOnLadder	no
CryGame.dll	RMI:CNPC:ClLeaveLadder	S2C	CNPC	ClLeaveLadder	10ec0380	RMI_CNPC_ClLeaveLadder	no
CryGame.dll	RMI:CNPC:ClAnimGraphTransition	S2C	CNPC	ClAnimGraphTransition	10ebfeb0	RMI_CNPC_ClAnimGraphTransition	no
CryGame.dll	RMI:CNPC:ClAnimGraphInput	S2C	CNPC	ClAnimGraphInput	10ebff70	RMI_CNPC_ClAnimGraphInput	no
