#opcode	name	dir	nFuncs	funcAddrs(<=3)
8503	C2S_CMD_GUILD_ENTERCAMP	C2S	5	1062aea0:FUN_1062aea0 | 106b4030:FUN_106b4030 | 11139940:FUN_11139940
8504	C2S_CMD_GUILD_LEAVECAMP	C2S	6	1062af10:FUN_1062af10 | 10652120:FUN_10652120 | 106b40d0:FUN_106b40d0
8505	C2S_CMD_GUILD_GETLEARNEDSKILLS	C2S	5	1062af80:FUN_1062af80 | 106b4170:FUN_106b4170 | 11139a20:FUN_11139a20
8506	C2S_CMD_GUILD_GETCANDIDATESKILLS	C2S	5	1062aff0:FUN_1062aff0 | 106b4210:FUN_106b4210 | 11139a90:FUN_11139a90
8507	C2S_CMD_GUILD_LEARNSKILL	C2S	5	1062b060:FUN_1062b060 | 106b42b0:FUN_106b42b0 | 11139b00:FUN_11139b00
8508	C2S_CMD_GUILD_SORT_ITEM_REQ	C2S	5	1062b0d0:FUN_1062b0d0 | 106b4350:FUN_106b4350 | 11139b80:FUN_11139b80
8509	C2S_CMD_GUILD_MODIFYCOLUMNNAME	C2S	5	1062b1b0:FUN_1062b1b0 | 106b4490:FUN_106b4490 | 11139c00:FUN_11139c00
8510	C2S_CMD_GUILD_OPERATE_ITEM_REQ	C2S	5	1062b140:FUN_1062b140 | 106b43f0:FUN_106b43f0 | 11139c80:FUN_11139c80
8511	C2S_CMD_GUILD_DEPOTRIGHTSETTING	C2S	5	1062b220:FUN_1062b220 | 106b4530:FUN_106b4530 | 11139d20:FUN_11139d20
8512	C2S_CMD_GUILD_RESETDEPOTRIGHT	C2S	6	1062b290:FUN_1062b290 | 10652160:FUN_10652160 | 106b45d0:FUN_106b45d0
8513	C2S_CMD_GUILD_IMPEACHLEADER	C2S	5	1062b300:FUN_1062b300 | 106b4670:FUN_106b4670 | 11139e90:FUN_11139e90
8514	C2S_CMD_GUILD_SELECTQUESTPRIZE	C2S	5	1062b370:FUN_1062b370 | 106b4710:FUN_106b4710 | 11139f00:FUN_11139f00
8515	C2S_CMD_GUILD_MODIFYNAME	C2S	5	1062b3e0:FUN_1062b3e0 | 106b47b0:FUN_106b47b0 | 11139f70:FUN_11139f70
8516	C2S_CMD_GUILD_QUERYGUILD	C2S	5	1062b450:FUN_1062b450 | 106b4850:FUN_106b4850 | 11139ff0:FUN_11139ff0
