#insnAddr	func	funcName	funcSize	mnemonic	text
116c3e87	116c3ca0	FUN_116c3ca0	874	MOV	MOV dword ptr [ESI + 0x210],0x0
116ca526	116ca520	FUN_116ca520	16	MOV	MOV dword ptr [ECX + 0x210],EAX
116e47b2	116e46c0	FUN_116e46c0	452	LEA	LEA EAX,[ECX + 0x210]
116e4a88	116e4a10	FUN_116e4a10	389	LEA	LEA EAX,[ESI + 0x210]
116e86ad	116e5410	CDamageInfo::ParseAttackInfoXml_DECOMPILE_FAILED_	14846	LEA	LEA EAX,[EDI + 0x210]
116e903f	116e8ff0	FUN_116e8ff0	158	LEA	LEA EAX,[ESI + 0x210]
116ea2c6	116e9f00	FUN_116e9f00	1433	LEA	LEA EDX,[EDI + 0x210]
116ea2cc	116e9f00	FUN_116e9f00	1433	LEA	LEA EBX,[ESI + 0x210]
116ec6d2	116ec530	FUN_116ec530	1093	LEA	LEA ECX,[ESI + 0x210]
116ecd18	116ecc30	FUN_116ecc30	710	MOV	MOV EAX,dword ptr [EBX + 0x210]
116ecd30	116ecc30	FUN_116ecc30	710	MOV	MOV EAX,dword ptr [EBX + 0x210]
116ede99	116ed8c0	FUN_116ed8c0	1912	LEA	LEA EDI,[ECX + 0x210]
116efb16	116eeb20	CDmgRangeInfo::ParseAreaDamageXml	4416	LEA	LEA ECX,[EBX + 0x210]
1187d720	1187c460	FUN_1187c460	13006	MOV	MOV dword ptr [ESI + 0x210],0x1239a754
118c1074	118c0c10	CDamageInfo::BuildDamageProjectileTable	1334	MOV	MOV ESI,dword ptr [EDI + 0x210]
11b35089	11b34e60	FUN_11b34e60	1777	LEA	LEA ECX,[ESI + 0x210]
11b3d7bb	11b3d7b0	FUN_11b3d7b0	277	LEA	LEA ESI,[EBX + 0x210]
11b3fcc7	11b3fca0	FUN_11b3fca0	179	CMP	CMP dword ptr [EDI + 0x210],0x0
11b4fda6	11b4fd80	FUN_11b4fd80	111	MOV	MOV EDX,dword ptr [ESI + 0x210]
11b6059a	11b603c0	FUN_11b603c0	738	MOV	MOV dword ptr [EDI + 0x210],0xffffffff
11b64563	11b64510	FUN_11b64510	386	MOV	MOV EAX,dword ptr [ESI + 0x210]
11b64573	11b64510	FUN_11b64510	386	MOV	MOV dword ptr [ESI + 0x210],EAX
11b645e0	11b64510	FUN_11b64510	386	INC	INC dword ptr [ESI + 0x210]
11b64600	11b64510	FUN_11b64510	386	CMP	CMP dword ptr [ESI + 0x210],0x0
11b6463f	11b64510	FUN_11b64510	386	MOV	MOV EAX,dword ptr [ESI + 0x210]
11b64661	11b64510	FUN_11b64510	386	DEC	DEC dword ptr [ESI + 0x210]
11b64687	11b64510	FUN_11b64510	386	DEC	DEC dword ptr [ESI + 0x210]
11ba1741	11ba12e0	FUN_11ba12e0	1571	MOV	MOV dword ptr [ECX + 0x210],0x0
11ba252b	11ba21a0	FUN_11ba21a0	1284	MOV	MOV dword ptr [ESI + 0x210],0x0
11ba6b44	11ba68c0	FUN_11ba68c0	1045	MOV	MOV dword ptr [ECX + 0x210],0x0
11ba6fa6	11ba6f90	FUN_11ba6f90	537	MOV	MOV dword ptr [ESI + 0x210],0x0
11ba708e	11ba6f90	FUN_11ba6f90	537	MOV	MOV EDI,dword ptr [ESI + 0x210]
11ba7135	11ba6f90	FUN_11ba6f90	537	MOV	MOV ECX,dword ptr [ESI + 0x210]
11ba7144	11ba6f90	FUN_11ba6f90	537	INC	INC dword ptr [ESI + 0x210]
11ba717f	11ba6f90	FUN_11ba6f90	537	CMP	CMP dword ptr [ESI + 0x210],0x0
11bec14f	11bec0f0	FUN_11bec0f0	473	MOV	MOV dword ptr [EBX + 0x210],EAX
11bec355	11bec2d0	FUN_11bec2d0	512	MOV	MOV dword ptr [EDI + 0x210],EAX
11bec6d4	11bec6b0	FUN_11bec6b0	50	MOV	MOV dword ptr [EBX + 0x210],EAX
11bec715	11bec6f0	FUN_11bec6f0	51	MOV	MOV dword ptr [EBX + 0x210],EAX
11bec780	11bec750	FUN_11bec750	65	MOV	MOV dword ptr [EBX + 0x210],EAX
11bec817	11bec7e0	FUN_11bec7e0	73	MOV	MOV dword ptr [EDI + 0x210],EAX
11becc2e	11becc10	FUN_11becc10	73	MOV	MOV byte ptr [ESI + 0x210],AL
11bef043	11bef040	FUN_11bef040	167	SUB	SUB ESP,0x210
11bef063	11bef040	FUN_11bef040	167	CMP	CMP AL,byte ptr [EDI + 0x210]
11c0c546	11c0c440	FUN_11c0c440	672	MOV	MOV dword ptr [ESI + 0x210],0x0
